lostsales,first_var,var_discount,forecast_id,opt_cost,opt_MC_std,solve_time_s
true,0.1,0.7,1,6513.265781691778,516.6566023692445,0.2243408277309998
true,0.1,0.7,2,9761.757264037195,1030.7834144384115,0.4745560085929996
true,0.1,0.7,3,13123.274404765705,1576.396541618732,0.8209241730140007
true,0.1,0.7,4,9689.936800156765,1098.2204446093708,0.5404882466980008
true,0.1,0.7,5,9764.840674320729,1211.3115772097874,0.5577363044319994
true,0.1,0.7,6,9833.429550720804,1140.525205735316,0.581912936438
true,0.1,0.7,7,9007.22129355989,915.2335853496094,0.4793711505620004
true,0.1,0.7,8,10923.500640930168,1268.8689437383907,0.5466031786750001
false,0.1,0.7,1,6153.98131570507,353.905994052836,0.22184980761399975
false,0.1,0.7,2,8981.013889645603,578.4852990027006,0.5200367532819995
false,0.1,0.7,3,11486.983738700883,898.557536705207,0.9157750697689988
false,0.1,0.7,4,8866.962777049139,601.040793118575,0.5523902412850001
false,0.1,0.7,5,8890.051401663359,617.402727825625,0.565232243648
false,0.1,0.7,6,8864.77790712173,627.0059416248633,0.5800393226880005
false,0.1,0.7,7,8317.697412251866,527.7589213150635,0.49438518576899976
false,0.1,0.7,8,9574.589160134523,637.2195937281022,0.5721884781550004
true,0.05,0.7,1,6296.902369174193,343.3500724031389,0.18813126187800017
true,0.05,0.7,2,9233.366753549628,616.0381103867098,0.4782311195799999
true,0.05,0.7,3,12207.657332519722,956.8223201791045,0.8055897168319992
true,0.05,0.7,4,9098.713828945873,627.9851126095173,0.5011378530769992
true,0.05,0.7,5,9185.7735991556,664.8773251609692,0.5435162553419991
true,0.05,0.7,6,9241.619417561958,656.2017291747593,0.5442804058649995
true,0.05,0.7,7,8585.274225748451,564.0430702587388,0.45614178131000027
true,0.05,0.7,8,10331.814615155374,761.8266279233679,0.5185317940670003
false,0.05,0.7,1,6041.62113520929,237.92179895789428,0.21761955101099997
false,0.05,0.7,2,8716.805408228682,369.06635492828315,0.5010584338389996
false,0.05,0.7,3,11021.86011561608,536.7365885465996,0.815138797147
false,0.05,0.7,4,8571.278133706133,357.37935903455417,0.4944183518149999
false,0.05,0.7,5,8600.62325502379,359.16229190031004,0.550710890764
false,0.05,0.7,6,8606.85582627967,390.2685004338341,0.5736823207620002
false,0.05,0.7,7,8116.357967481061,351.6118114183033,0.43533713860700013
false,0.05,0.7,8,9288.62920457057,431.98537599772175,0.512313539404
true,0.03,0.7,1,6208.701090829361,261.7701880717976,0.19759217678600008
true,0.03,0.7,2,9088.298145658213,475.0794517182149,0.47184071558700014
true,0.03,0.7,3,11881.845679736389,734.8679189281263,0.7979830856859997
true,0.03,0.7,4,8945.351451988588,490.7410126160807,0.4815789107219997
true,0.03,0.7,5,9004.254732890657,501.76335057971005,0.5102955892269998
