lostsales,first_var,var_discount,forecast_id,simple_cost,simple_MC_std,solve_time_simple_s
true,0.03,0.9,5,9478.979879088161,404.3980504222457,5.7518214999999995e-5
true,0.03,0.9,6,9579.46395853661,475.4837496072098,5.8974226e-5
true,0.03,0.9,7,8828.865203121539,330.5477926421606,5.9857078e-5
true,0.03,0.9,8,10500.381985390974,507.4702416742003,6.136548800000001e-5
false,0.03,0.9,1,6351.505619100234,228.45010585379268,6.0660219000000004e-5
false,0.03,0.9,2,9221.131621074692,329.0827656012205,6.0356545e-5
false,0.03,0.9,3,11669.888411185377,437.5177129934074,5.8335667e-5
false,0.03,0.9,4,9108.687475309966,332.0051190287478,5.7807659999999996e-5
false,0.03,0.9,5,9181.565165299075,328.70924881076706,6.2329113e-5
false,0.03,0.9,6,9189.393110097613,377.3967485698645,5.9540104e-5
false,0.03,0.9,7,8640.315844745013,313.62433430712196,5.923079e-5
false,0.03,0.9,8,9791.098447741302,372.86536713436726,5.8410568000000005e-5
true,0.1,0.95,1,7331.577149262598,1808.0719908004658,5.8344298000000004e-5
true,0.1,0.95,2,11341.422498338097,4172.9607777215115,5.9259869999999996e-5
true,0.1,0.95,3,15197.84375004296,4590.463957590464,5.9821026999999996e-5
true,0.1,0.95,4,11149.539537544482,3091.0061275132543,5.9616165e-5
true,0.1,0.95,5,11299.482393287017,2885.3251147351366,6.0045911e-5
true,0.1,0.95,6,11649.03755696279,4128.99402648876,4.2217324e-5
true,0.1,0.95,7,10341.044521486394,2240.8695095503667,5.2080621e-5
true,0.1,0.95,8,12669.587339528576,4268.73491969619,5.3642492e-5
false,0.1,0.95,1,6950.782974916023,1184.256392985715,5.5020782e-5
false,0.1,0.95,2,10454.787407285303,2021.6868311110406,5.6972798e-5
false,0.1,0.95,3,13367.718402988297,2572.023313064164,5.5871263e-5
false,0.1,0.95,4,10291.37254456046,2481.9692438031857,5.9470763000000005e-5
false,0.1,0.95,5,10538.080555743165,2846.6611881859635,5.9869578999999996e-5
false,0.1,0.95,6,10596.796762656873,2487.631558156094,5.8811604e-5
false,0.1,0.95,7,9667.810272420387,1911.2643179155332,5.9344211000000004e-5
false,0.1,0.95,8,11195.716960745098,3032.8027820872207,5.9788337e-5
true,0.05,0.95,1,6632.433070366712,504.8908245737673,5.8861484e-5
true,0.05,0.95,2,9834.320551112842,805.4519495876722,5.8267715999999995e-5
true,0.05,0.95,3,13027.100534725001,1143.839515325294,5.929919e-5
true,0.05,0.95,4,9761.795782227098,864.8052212283362,5.8585241e-5
true,0.05,0.95,5,9899.263611292408,863.4947478147461,5.9831038e-5
true,0.05,0.95,6,9991.664137154134,1092.417953071922,6.164008299999999e-5
true,0.05,0.95,7,9132.274831935532,663.9704894764392,5.8932134999999993e-5
true,0.05,0.95,8,10946.245348060816,1040.1329931713408,5.9613205e-5
false,0.05,0.95,1,6465.60003359062,432.29632810826064,6.0630359e-5
false,0.05,0.95,2,9485.27436582465,634.6062523678586,5.9783357e-5
false,0.05,0.95,3,12023.524650362544,817.7497707798606,6.0166962999999994e-5
false,0.05,0.95,4,9367.068536341609,640.6121925976761,5.9649695000000006e-5
false,0.05,0.95,5,9453.524951562438,688.5497047750525,5.8405308e-5
false,0.05,0.95,6,9484.52161721752,764.2306296687065,5.9062957e-5
false,0.05,0.95,7,8881.896790848205,631.5341564288645,6.1102125e-5
false,0.05,0.95,8,10111.11696503997,726.2484081824674,5.8704652e-5
true,0.03,0.95,1,6517.056964306162,324.23810494617396,5.9302901e-5
true,0.03,0.95,2,9569.889761410435,500.43416225174315,5.9129837999999995e-5
true,0.03,0.95,3,12581.475222021378,745.242105908142,5.9047728000000004e-5
true,0.03,0.95,4,9484.216621705427,506.16797916623835,5.8704451999999995e-5
true,0.03,0.95,5,9609.41341622279,532.9976701485001,5.8293856e-5
true,0.03,0.95,6,9668.15948097167,595.3169284200301,5.9694336e-5
true,0.03,0.95,7,8890.929759827499,466.0183509506126,6.0140862e-5
true,0.03,0.95,8,10642.181790761182,628.2112097851195,5.9902858000000004e-5
false,0.03,0.95,1,6387.887393502564,307.00003184549377,5.8819334e-5
false,0.03,0.95,2,9283.274086681196,437.98832560850764,5.8379567e-5
false,0.03,0.95,3,11734.82611033197,547.9148478110611,5.921792e-5
false,0.03,0.95,4,9182.416690128272,441.3585681047582,0.037312869382
false,0.03,0.95,5,9246.527711038541,438.0148981665501,4.2993086e-5
false,0.03,0.95,6,9277.200072705573,484.87198335700396,5.0109604e-5
false,0.03,0.95,7,8687.769367572415,422.32047154512935,5.1388562e-5
false,0.03,0.95,8,9849.214731097258,462.8572860082614,5.9250161000000004e-5
true,0.1,0.99,1,8234.808717290358,3290.525096057625,5.9831298999999995e-5
true,0.1,0.99,2,12875.291503291812,5927.4518196732515,5.9049498e-5
true,0.1,0.99,3,19537.14433249068,16448.81977650258,5.9286312e-5
true,0.1,0.99,4,13855.108777681442,10194.937545497563,5.8534201e-5
true,0.1,0.99,5,14372.937571407709,19222.299726793895,5.9367343e-5
true,0.1,0.99,6,14370.456760285457,13161.877000372591,6.295600199999999e-5
true,0.1,0.99,7,12629.85691159029,10040.374885167192,6.0219575e-5
true,0.1,0.99,8,15163.883126154262,10580.208372909221,5.8207207e-5
false,0.1,0.99,1,7763.578892165881,2928.129142468227,5.8804185e-5
false,0.1,0.99,2,12327.54977042985,6351.530164475913,6.0166174e-5
false,0.1,0.99,3,15757.846979576787,9431.163349969675,6.1267419e-5
false,0.1,0.99,4,12005.897561234537,7661.056488471029,5.9101219e-5
false,0.1,0.99,5,12011.964758732584,5353.246632519158,5.8243107000000004e-5
false,0.1,0.99,6,12240.040281073829,5293.407691766588,5.5986416e-5
false,0.1,0.99,7,11108.690260133,5845.196187972495,6.0759982e-5
false,0.1,0.99,8,12825.051754623619,5745.294698220154,5.8082654999999996e-5
true,0.05,0.99,1,6847.187147050896,918.0109014281052,5.8864236e-5
true,0.05,0.99,2,10172.839082869574,1206.7370517865138,5.9525625e-5
true,0.05,0.99,3,13542.414025058692,2034.9694715176602,5.8147256000000004e-5
true,0.05,0.99,4,10248.3628811003,2372.9771091800094,6.0241355000000006e-5
true,0.05,0.99,5,10308.080841457087,2217.163446670671,5.7156172e-5
true,0.05,0.99,6,10513.032946743018,1859.7265800834152,5.8386729e-5
true,0.05,0.99,7,9582.761357155028,1880.314166651566,5.8060725e-5
true,0.05,0.99,8,11290.59555246883,1635.0994884373827,5.8376198999999996e-5
false,0.05,0.99,1,6671.413594375792,780.7924957672536,5.9251941e-5
false,0.05,0.99,2,9792.572501180452,1147.295109702791,5.8899226e-5
false,0.05,0.99,3,12569.346943994658,1999.845838610054,6.0027292000000005e-5
false,0.05,0.99,4,9767.383314357392,1527.4477386590595,5.9564975e-5
false,0.05,0.99,5,9765.045598539393,1389.910837265877,6.0691081e-5
false,0.05,0.99,6,9895.08968159768,1552.6212128971665,5.7908462e-5
false,0.05,0.99,7,9111.61027397308,970.3841980806635,5.9952611e-5
false,0.05,0.99,8,10458.226007537758,1716.6340358149919,5.8875826e-5
true,0.03,0.99,1,6578.134352527491,439.2558552284621,5.8919827e-5
true,0.03,0.99,2,9705.708442057414,694.8082302103832,6.0340686e-5
true,0.03,0.99,3,12815.761989692459,966.5288146293301,4.3213550000000006e-5
true,0.03,0.99,4,9615.18794890019,708.8820328679774,5.1680216000000004e-5
true,0.03,0.99,5,9720.379872185602,783.0239561306078,5.1403793000000005e-5
true,0.03,0.99,6,9862.417323483009,807.7684331895719,5.6044547e-5
true,0.03,0.99,7,9079.023411827435,680.7727333175591,5.7388746e-5
true,0.03,0.99,8,10777.19336313144,811.8971319137496,5.8207317e-5
false,0.03,0.99,1,6447.480978667738,421.58219424029386,5.7159332e-5
false,0.03,0.99,2,9394.086069392613,612.8631650071795,6.0102063999999997e-5
false,0.03,0.99,3,11882.048245701924,776.3333037273393,6.2477876e-5
false,0.03,0.99,4,9268.71499404158,606.7741066538053,5.916571e-5
false,0.03,0.99,5,9372.500571926466,604.9798321148209,6.182415699999999e-5
false,0.03,0.99,6,9381.267512678623,708.0353660814369,5.9635866e-5
false,0.03,0.99,7,8839.149172237481,635.5782334014374,6.0652711e-5
false,0.03,0.99,8,9965.189754732519,627.2159547651289,5.8781775e-5
