leadtime,shortage,setup,lostsales,CV,horizon,ADI,policy,mu_dist_bounds,avg_cost,MC_std,train_time_s,forecast_id,agent_id,stockoutrate
2,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1203.51472615242,51.75535827735051,1203.5223627,1,1,0.0844228379030319
2,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1657.7130331344604,75.38998716749792,1203.5223627,2,1,0.05619301481541188
2,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2105.5617993888854,95.10102196074372,1203.5223627,3,1,0.047242442444055906
2,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1666.7879254627228,78.44103612988427,1203.5223627,4,1,0.06596793957239294
2,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1709.971924164772,87.24341304997816,1203.5223627,5,1,0.08405293020349909
2,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1651.0544896850586,77.39865266283518,1203.5223627,6,1,0.06484626941184275
2,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1548.5328011837005,67.17191109328668,1203.5223627,7,1,0.06381889566592162
2,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1789.6336133441926,82.42164681197488,1203.5223627,8,1,0.056715841937084135
2,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1836.8000864219666,82.79946494795054,1289.701577921,1,10,0.04865417369454729
2,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2420.859398750305,104.29168398387884,1289.701577921,2,10,0.025902239346183572
2,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",3042.221003158569,127.29097594824309,1289.701577921,3,10,0.020947265667068813
2,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2405.2581756706236,107.81978203427599,1289.701577921,4,10,0.028009120973039803
2,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2389.498505760193,112.20044038768384,1289.701577921,5,10,0.03133259452837409
