leadtime,shortage,setup,lostsales,CV,horizon,forecast_id,opt_cost,opt_MC_std,solve_time_s
2,25.0,80,false,0.2,32,2,4373.219857115998,134.64052475206051,0.0016306062770000001
2,75.0,80,true,0.2,32,2,4619.545130000519,225.03899879056289,0.001625052477
8,75.0,320,true,0.2,32,2,9258.16374250522,399.7863051778124,0.002832938361
8,25.0,320,false,0.2,32,2,8750.02583223353,228.82672545156038,0.002966126965
2,25.0,80,false,0.2,32,3,5656.3412792487,202.1371694636724,0.0030136465889999985
2,75.0,80,true,0.2,32,3,6481.341542716967,436.53420230879374,0.0029227955030000003
2,25.0,80,false,0.2,32,4,4336.562192294255,153.1911731174686,0.0019162409800000011
2,75.0,80,true,0.2,32,4,4633.974548928842,268.4597706962299,0.0019084183579999993
2,25.0,80,false,0.2,32,5,4329.267543514155,140.95728315382667,0.00197942753
2,75.0,80,true,0.2,32,5,4649.04219432593,272.73128973127615,0.0019851814030000005
8,75.0,320,true,0.2,32,3,14185.231702070225,795.6242357155762,0.005342103010999999
8,25.0,320,false,0.2,32,3,12622.411247799955,674.0822495678818,0.0055466118119999975
2,25.0,80,false,0.2,32,6,4340.381494301935,150.1952376802753,0.0020606755309999997
2,75.0,80,true,0.2,32,6,4734.938214886501,300.4242385638083,0.0019945715810000004
2,25.0,80,false,0.2,32,7,3370.7271236333977,89.15255125635628,0.0009725641400000001
2,75.0,80,true,0.2,32,7,3520.7533536801193,144.0734082678002,0.0009199048349999997
8,75.0,320,true,0.2,32,4,9783.624601507585,568.3104100734706,0.0036015124949999983
8,25.0,320,false,0.2,32,4,8807.242863691608,352.6297784256526,0.003670379664000001
2,25.0,80,false,0.2,32,8,5402.577209963643,199.89497471418915,0.002565802155
2,75.0,80,true,0.2,32,8,6187.837798741187,427.3967342921209,0.0025967677099999987
8,75.0,320,true,0.2,32,5,10413.452961700885,599.4933329117239,0.003726117058
8,25.0,320,false,0.2,32,5,9137.44767845797,366.9401253270647,0.0037832659130000008
8,75.0,320,true,0.2,32,6,11054.627894040845,614.0817473848095,0.004182375634
8,25.0,320,false,0.2,32,6,9632.874635758562,512.7026840024607,0.004315668451999998
8,75.0,320,true,0.2,32,7,7166.015964539486,261.7701771696385,0.001838825034
8,25.0,320,false,0.2,32,7,6949.76299512972,154.7725216115812,0.001893282674
2,75.0,1280,true,0.2,32,2,17390.291462522673,323.6538758472875,0.0070116783380000025
2,25.0,1280,false,0.2,32,2,16836.11632340483,324.7682892625113,0.007522806568
8,75.0,320,true,0.2,32,8,13563.554143725987,740.0147977090304,0.0046325417940000025
8,25.0,320,false,0.2,32,8,11984.96666086255,617.7658386530813,0.004702857527
4,75.0,320,true,0.2,32,2,9034.944418120202,365.1387806833083,0.0030344165539999994
4,25.0,320,false,0.2,32,2,8579.967059429675,173.94529147442918,0.003059348203
2,25.0,1280,false,0.2,32,3,20887.725729345282,472.04374103696426,0.011871591555000003
2,75.0,1280,true,0.2,32,3,22050.013213651684,527.9714935352399,0.012123078126000001
4,75.0,320,true,0.2,32,3,12446.804367995806,573.7751840807441,0.005433715377999996
4,25.0,320,false,0.2,32,3,11081.793200151636,355.4359091098891,0.005461141085000002
4,75.0,320,true,0.2,32,4,8942.702649208723,371.9016347435508,0.003536952364
4,25.0,320,false,0.2,32,4,8455.519265579636,205.27862682597106,0.003566005109000001
4,75.0,320,true,0.2,32,5,9126.212474364269,433.4296519820966,0.0036716301649999984
2,25.0,1280,false,0.2,32,4,17020.647466945316,405.61705158239755,0.007696134310000005
2,75.0,1280,true,0.2,32,4,17383.966187360948,321.6703972118791,0.007643826602000004
4,25.0,320,false,0.2,32,5,8543.544655249005,198.79966680296147,0.0037345176969999986
4,75.0,320,true,0.2,32,6,9441.134658761379,448.1804257856592,0.0036913473650000013
4,25.0,320,false,0.2,32,6,8666.64427587437,233.4000394344795,0.003740560815
4,75.0,320,true,0.2,32,7,6878.246163795942,205.5116474844894,0.001879364496000001
4,25.0,320,false,0.2,32,7,6660.878673848959,138.67073843167123,0.0019160787030000008
2,25.0,1280,false,0.2,32,5,16705.572741534488,403.2764875569797,0.007938620197999999
2,75.0,1280,true,0.2,32,5,17220.879200758198,351.6396922701151,0.007833087655000003
4,75.0,320,true,0.2,32,8,11897.41157710423,553.436309116784,0.004891347981000001
4,25.0,320,false,0.2,32,8,10577.261337911137,321.36542255096333,0.004976115494000002
2,75.0,1280,true,0.2,32,6,17267.22987022034,355.92855770933147,0.007859701079
2,25.0,1280,false,0.2,32,6,16704.929886652113,224.42073192256282,0.007902719467000002
1,75.0,320,true,0.2,32,2,8702.214140561682,244.0755165738104,0.0034461604239999985
1,25.0,320,false,0.2,32,2,8449.77383402277,185.40797772784538,0.003454674784999999
2,75.0,1280,true,0.2,32,7,14340.970253849293,225.63034554680604,0.004442196975
