leadtime,shortage,setup,lostsales,CV,horizon,forecast_id,opt_cost,opt_MC_std,solve_time_s,opt_shortrate
2,5.0,10,true,0.2,32,1,1215.264,51.88591766994637,0.0,0.08371429560108733
2,5.0,10,true,0.2,32,2,1711.741,79.3574793483798,0.0,0.04793465748308879
2,5.0,10,true,0.2,32,3,2072.164,86.43122966533255,0.0,0.03265778250574352
2,5.0,10,true,0.2,32,4,1675.81,72.5810023484238,0.0,0.04499945105003535
2,5.0,10,true,0.2,32,5,1680.512,73.24216183504055,0.0,0.04560985552056054
2,5.0,10,true,0.2,32,6,1687.426,72.36991037667468,0.0,0.045789060677398144
2,5.0,10,true,0.2,32,7,1603.741,69.61177859183543,0.0,0.05073870776319464
2,5.0,10,true,0.2,32,8,1840.866,81.30478775885534,0.0,0.05170177110825886
4,5.0,10,true,0.2,32,1,1396.737,64.33273297110523,0.0,0.06210317307618307
4,5.0,10,true,0.2,32,2,1884.726,92.81438160885108,0.0,0.04178323177753643
4,5.0,10,true,0.2,32,3,2424.538,122.16698952388624,0.0,0.04662828526051539
4,5.0,10,true,0.2,32,4,1876.018,97.85079690250076,0.0,0.045174806609427035
4,5.0,10,true,0.2,32,5,1877.515,96.0296072076756,0.0,0.04679739089348069
4,5.0,10,true,0.2,32,6,1911.549,95.442133252562,0.0,0.05197490628254912
4,5.0,10,true,0.2,32,7,1804.844,88.5226972698637,0.0,0.04305807815997437
4,5.0,10,true,0.2,32,8,2079.701,105.90910412866941,0.0,0.05423045382929493
8,5.0,10,true,0.2,32,1,1924.307,112.36332260692217,0.0,0.04757832572765272
8,5.0,10,true,0.2,32,2,2288.462,147.08833241808657,0.0,0.03636461370997003
8,5.0,10,true,0.2,32,3,3022.438,190.66412605669942,0.0,0.05212544062607636
8,5.0,10,true,0.2,32,4,2306.792,152.09212586702427,0.0,0.040910719551825465
8,5.0,10,true,0.2,32,5,2394.276,152.06774945538066,0.0,0.049344342567660515
8,5.0,10,true,0.2,32,6,2506.757,177.1759161292986,0.0,0.05675807805125915
8,5.0,10,true,0.2,32,7,2361.859,146.7881735252772,0.0,0.03428702320051484
8,5.0,10,true,0.2,32,8,2652.291,164.63479259844783,0.0,0.060460541939569575
2,10.0,10,true,0.2,32,1,1377.303,76.81958369738435,0.0,0.042788185420592345
2,10.0,10,true,0.2,32,2,1946.568,103.62498498679511,0.0,0.02626500806044128
2,10.0,10,true,0.2,32,3,2328.201,127.16011282353163,0.0,0.02029690578728812
2,10.0,10,true,0.2,32,4,1887.992,101.19815711268166,0.0,0.022795314323266213
2,10.0,10,true,0.2,32,5,1884.468,106.8000244439168,0.0,0.02315902666298605
2,10.0,10,true,0.2,32,6,1900.831,104.3660707112983,0.0,0.02418720793213549
2,10.0,10,true,0.2,32,7,1813.463,102.52551932622977,0.0,0.025989969586321687
2,10.0,10,true,0.2,32,8,2094.262,122.64957510841313,0.0,0.029024703612511225
4,10.0,10,true,0.2,32,1,1569.383,86.18328068058716,0.0,0.03728030188157751
4,10.0,10,true,0.2,32,2,2140.287,126.59166671262798,0.0,0.025552431081308433
4,10.0,10,true,0.2,32,3,2764.51,165.64171297435038,0.0,0.025923034106929314
4,10.0,10,true,0.2,32,4,2132.526,128.46471307914288,0.0,0.024831311375709413
4,10.0,10,true,0.2,32,5,2159.518,129.7279114416285,0.0,0.025966692715585316
4,10.0,10,true,0.2,32,6,2210.707,141.69454645643742,0.0,0.030495524616533137
4,10.0,10,true,0.2,32,7,2038.626,116.69000248813383,0.0,0.023503809437539085
4,10.0,10,true,0.2,32,8,2445.33,147.81537296399344,0.0,0.03733669016217407
8,10.0,10,true,0.2,32,1,2123.981,127.60531240804497,0.0,0.027548823619867754
8,10.0,10,true,0.2,32,2,2623.518,183.42994908744382,0.0,0.020015240372187954
8,10.0,10,true,0.2,32,3,3615.791,245.08323710958308,0.0,0.039387166842333364
8,10.0,10,true,0.2,32,4,2663.877,191.4863987647998,0.0,0.0283110004013974
8,10.0,10,true,0.2,32,5,2787.561,203.29297162300352,0.0,0.035669257792852876
8,10.0,10,true,0.2,32,6,2962.436,225.9421823692375,0.0,0.045752751321277686
8,10.0,10,true,0.2,32,7,2628.709,167.84093928449013,0.0,0.019510257616147685
8,10.0,10,true,0.2,32,8,3165.927,222.7129469243486,0.0,0.04949327152147318
2,5.0,20,true,0.2,32,1,1544.475,52.80914865041076,0.0,0.08914596148009267
2,5.0,20,true,0.2,32,2,2199.909,73.47626474229946,0.0,0.06704855637999307
2,5.0,20,true,0.2,32,3,2687.515,97.65521140889162,0.0,0.04784989744940228
2,5.0,20,true,0.2,32,4,2151.481,77.56527580696797,0.0,0.05630001852226847
2,5.0,20,true,0.2,32,5,2146.715,74.6850696902308,0.0,0.055946861497579846
2,5.0,20,true,0.2,32,6,2160.924,76.8898450529865,0.0,0.0576693080701296
2,5.0,20,true,0.2,32,7,2053.394,69.36411279721052,0.0,0.06252128133266979
2,5.0,20,true,0.2,32,8,2327.176,79.35321011752427,0.0,0.05984911163896305
4,5.0,20,true,0.2,32,1,1732.639,61.07538687459852,0.0,0.06474408128515724
4,5.0,20,true,0.2,32,2,2383.234,85.53059526699629,0.0,0.0544305955721498
4,5.0,20,true,0.2,32,3,2945.746,123.94214432201478,0.0,0.04587890445975821
4,5.0,20,true,0.2,32,4,2333.41,91.14142120166143,0.0,0.052419262131755615
4,5.0,20,true,0.2,32,5,2342.083,92.82849368723075,0.0,0.0515761710183069
4,5.0,20,true,0.2,32,6,2361.884,91.67938510730563,0.0,0.05469245463595377
4,5.0,20,true,0.2,32,7,2260.183,79.94502309536047,0.0,0.05384358624180254
4,5.0,20,true,0.2,32,8,2564.367,102.29117163663146,0.0,0.06132456101905968
8,5.0,20,true,0.2,32,1,2236.034,112.1561047640111,0.0,0.050126762186455655
8,5.0,20,true,0.2,32,2,2764.368,136.27183343812686,0.0,0.04270635656531201
8,5.0,20,true,0.2,32,3,3535.655,186.79881630452795,0.0,0.05305965039717094
8,5.0,20,true,0.2,32,4,2759.466,140.70479267843965,0.0,0.0464847248004366
8,5.0,20,true,0.2,32,5,2846.302,147.82284122688344,0.0,0.05432004581197107
8,5.0,20,true,0.2,32,6,2958.15,170.36805679109796,0.0,0.06108208485156218
8,5.0,20,true,0.2,32,7,2802.318,134.6257292012302,0.0,0.04172973303541982
8,5.0,20,true,0.2,32,8,3112.323,155.49980340778524,0.0,0.06635431928085542
2,10.0,20,true,0.2,32,1,1733.714,74.11093464958216,0.0,0.036063628368543744
2,10.0,20,true,0.2,32,2,2447.605,107.10771698639664,0.0,0.025489651140091146
2,10.0,20,true,0.2,32,3,3025.254,144.5836917772123,0.0,0.025573656979092536
