leadtime,shortage,setup,lostsales,CV,horizon,forecast_id,simple_cost,simple_MC_std,simple_solve_time_s
2,25.0,320,false,0.3,32,3,11974.815674175443,210.93684128033735,0.000889442626
2,25.0,320,false,0.3,32,4,9351.404467896255,148.41305827109687,0.000920929688
2,25.0,320,false,0.3,32,5,9422.97442306915,161.7615476960714,0.000887743826
2,25.0,320,false,0.3,32,6,9404.460462446616,232.21767484041237,0.000893000141
2,25.0,320,false,0.3,32,7,8847.448901386944,136.40558323352084,0.000889645969
2,25.0,320,false,0.3,32,8,10056.66138581051,217.4683423719056,0.000920665065
2,10.0,320,false,0.2,32,1,6210.06391802327,61.26399251067223,0.000877358006
2,10.0,320,false,0.2,32,2,8958.84578200913,132.91965924419284,0.0008820909850000001
2,10.0,320,false,0.2,32,3,11103.663069688093,135.02456503624234,0.000857833783
2,10.0,320,false,0.2,32,4,8853.746390303497,141.37192497448183,0.0008782062859999999
2,10.0,320,false,0.2,32,5,8910.651395575765,133.00086102197656,0.000877528478
2,10.0,320,false,0.2,32,6,8881.34062771486,209.82793644144232,0.000885324635
2,10.0,320,false,0.2,32,7,8431.283654099354,132.50166173427485,0.000857787632
2,10.0,320,false,0.2,32,8,9388.399466716222,148.23488637831187,0.000875833627
2,50.0,320,true,0.2,32,1,6343.858753918799,64.71095034365915,0.000882125935
2,50.0,320,true,0.2,32,2,9264.164307577064,155.18781259845304,0.0008772760050000001
2,50.0,320,true,0.2,32,3,11899.257079837265,238.33212180631267,0.000853267746
2,50.0,320,true,0.2,32,4,9173.210830299337,173.32951944614868,0.000878691452
2,50.0,320,true,0.2,32,5,9262.580859760448,177.22806623535317,0.000852510577
2,50.0,320,true,0.2,32,6,9229.121917014516,242.30480666119624,0.000851332082
2,50.0,320,true,0.2,32,7,8659.659805354693,136.52786708528922,0.000878603021
2,50.0,320,true,0.2,32,8,10063.177152730826,243.56437184291366,0.000853835584
2,75.0,320,true,0.2,32,1,6372.245702658833,65.7605711584176,0.000979348875
2,75.0,320,true,0.2,32,2,9342.887104121282,178.1634700190486,0.000947101224
2,75.0,320,true,0.2,32,3,12232.47074226797,344.04280336466115,0.0009448558460000001
2,75.0,320,true,0.2,32,4,9275.350582091583,203.08367299020523,0.000946523246
2,75.0,320,true,0.2,32,5,9384.992817174545,217.3367853028063,0.000973276099
2,75.0,320,true,0.2,32,6,9366.203788974435,294.1857735047805,0.000947214925
2,75.0,320,true,0.2,32,7,8711.26689053282,132.4162564572889,0.000944877086
2,75.0,320,true,0.2,32,8,10378.275114748725,354.7433365634431,0.00098858907
2,25.0,320,false,0.2,32,1,6293.11267559564,66.17563408981,0.00094835575
2,25.0,320,false,0.2,32,2,9124.25478975059,139.25959221139522,0.000954208383
2,25.0,320,false,0.2,32,3,11496.021997389831,169.49522259765357,0.00095077436
2,25.0,320,false,0.2,32,4,9030.913560956957,148.7242514018817,0.000953859228
2,25.0,320,false,0.2,32,5,9096.717488109036,141.84817683497525,0.000985786495
2,25.0,320,false,0.2,32,6,9062.94025030236,221.9061242488496,0.0009584040240000001
2,25.0,320,false,0.2,32,7,8562.499751173693,134.91638335867597,0.0009529372170000001
2,25.0,320,false,0.2,32,8,9693.725368787103,172.0857547183951,0.0009539044479999999
2,75.0,320,true,0.2,16,1,6366.533743603699,62.51154852323584,0.000935836843
2,75.0,320,true,0.2,16,2,9343.454164294786,181.80678584357554,0.00093797214
2,75.0,320,true,0.2,16,3,12230.36113608646,339.98508167991326,0.0009379289899999999
2,75.0,320,true,0.2,16,4,9201.639910196958,199.25923099667756,0.000934287874
2,75.0,320,true,0.2,16,5,9268.955441915929,226.36073790909165,0.0009655589930000001
2,75.0,320,true,0.2,16,6,9377.080402957266,265.6976602587659,0.000934695159
