leadtime,shortage,setup,lostsales,CV,forecast_id,opt_cost,opt_MC_std,solve_time_s
8,25.0,320,false,0.2,1,22929.871179629365,242.93742978182618,21.3924822
8,25.0,320,false,0.2,2,33223.712273751065,452.7424031301075,67.8791343
8,25.0,320,false,0.2,3,43087.38336274177,824.2587917976017,77.8656166
8,25.0,320,false,0.2,4,32910.40112456005,473.4016468606494,83.0171039
8,25.0,320,false,0.2,5,33246.8554436244,519.2880067617899,74.6531657
8,25.0,320,false,0.2,6,33339.30939945825,605.41677967044,74.1228362
8,25.0,320,false,0.2,7,32463.885419294373,412.28479662415447,81.7096548
8,25.0,320,false,0.2,8,34934.61486691242,738.7110449147665,84.6122031
4,25.0,320,false,0.2,1,22623.55658854797,185.15149298028936,17.5625366
4,25.0,320,false,0.2,2,32513.716937016205,300.32589999887483,56.2615689
4,25.0,320,false,0.2,3,40790.1149289314,537.1807366119217,61.7376838
4,25.0,320,false,0.2,4,32141.716084766438,331.9014119878679,60.7009449
4,25.0,320,false,0.2,5,32217.5423396984,365.53656746405034,56.9585725
4,25.0,320,false,0.2,6,32011.18829148932,378.17400214437407,53.1829962
4,25.0,320,false,0.2,7,31583.13204531323,328.983974990855,63.2548311
4,25.0,320,false,0.2,8,33303.79529837476,416.3723798589457,64.7486556
1,25.0,320,false,0.2,1,22541.327072209922,190.24635253119797,16.5649183
1,25.0,320,false,0.2,2,31998.804373056184,295.84338431341325,50.6536592
1,25.0,320,false,0.2,3,39544.11283295944,406.5704620058555,60.1809499
1,25.0,320,false,0.2,4,31521.988307083044,301.44862271283387,52.8744711
1,25.0,320,false,0.2,5,31586.117115957793,288.1951488491318,52.1960908
1,25.0,320,false,0.2,6,31466.10443873993,286.91548363170926,50.6426869
1,25.0,320,false,0.2,7,31130.313152066807,283.54390573242506,55.090249
1,25.0,320,false,0.2,8,32380.65141094708,312.2427801226756,56.5875432
0,25.0,320,false,0.2,1,22497.645534980806,203.07729613642067,16.8129409
0,25.0,320,false,0.2,2,31751.937741160844,274.8183487501586,47.6330215
0,25.0,320,false,0.2,3,38990.22262213611,364.16972933678056,54.6276269
0,25.0,320,false,0.2,4,31297.053619430102,273.81014198962043,45.9158518
0,25.0,320,false,0.2,5,31372.497596843365,269.30792482872624,45.4666923
0,25.0,320,false,0.2,6,31232.892939537214,304.9516418240428,42.6357489
0,25.0,320,false,0.2,7,30961.066114497455,280.24509699535446,51.9778786
0,25.0,320,false,0.2,8,32050.572814930707,303.57509133915664,53.6077328
2,10.0,320,false,0.2,1,21778.011283710428,134.43086248178153,15.8232591
2,10.0,320,false,0.2,2,30972.429987270178,204.59340361532475,51.1979756
2,10.0,320,false,0.2,3,38104.12764718835,272.74615687418026,58.0433784
2,10.0,320,false,0.2,4,30547.32180990285,224.86058500810492,53.158051
2,10.0,320,false,0.2,5,30572.066443413594,241.04955230971203,49.9712514
2,10.0,320,false,0.2,6,30393.411516235075,213.21397950960434,50.3478364
2,10.0,320,false,0.2,7,30069.198421219666,196.90645636290932,55.5279005
2,10.0,320,false,0.2,8,31272.095182286146,222.02950464581514,57.0881923
2,25.0,320,false,0.2,1,22568.463775746928,171.75126255122922,16.6562646
2,25.0,320,false,0.2,2,32199.398769185333,293.34679526243303,51.3265284
2,25.0,320,false,0.2,3,39949.41402036889,411.03496857684104,56.8037723
2,25.0,320,false,0.2,4,31761.831007738936,325.7492690402806,51.4717442
2,25.0,320,false,0.2,5,31806.699321015236,324.5138466179368,50.0758889
2,25.0,320,false,0.2,6,31655.358729971154,311.0953696817722,47.1066158
2,25.0,320,false,0.2,7,31310.36336014642,277.498024324517,56.8061756
2,25.0,320,false,0.2,8,32669.089772327327,322.69003944632243,57.4234739
2,50.0,320,false,0.2,1,22984.43113568462,225.83329812789225,14.8364998
2,50.0,320,false,0.2,2,32915.81389246772,377.6837473687359,41.1835738
2,50.0,320,false,0.2,3,41174.40165078849,580.9894894844664,53.8987065
2,50.0,320,false,0.2,4,32477.947782705607,420.479640949016,50.787467
2,50.0,320,false,0.2,5,32512.42515795627,413.71899467564765,49.1794542
2,50.0,320,false,0.2,6,32387.014354884966,400.6387106678986,43.8359803
2,50.0,320,false,0.2,7,31984.8575825552,363.26296966493146,54.7233917
2,50.0,320,false,0.2,8,33630.23106219766,441.4781131794608,57.1526298
2,25.0,80,false,0.2,1,11507.236726347668,131.45549481160265,8.262215
2,25.0,80,false,0.2,2,16694.217630185223,251.73115714689473,24.1274343
2,25.0,80,false,0.2,3,21101.52333653393,375.83770945983673,29.4266576
2,25.0,80,false,0.2,4,16535.59474120846,270.6239555485142,29.8722508
2,25.0,80,false,0.2,5,16557.987174725673,256.02491194794396,27.3796243
2,25.0,80,false,0.2,6,16503.085163675703,259.44336950530345,26.7060461
2,25.0,80,false,0.2,7,16242.20048555779,236.14864146908081,32.2636087
2,25.0,80,false,0.2,8,17092.903011434402,290.49975864095757,34.3902265
2,25.0,1280,false,0.2,1,44897.98655612083,240.41701033557325,28.7617174
2,25.0,1280,false,0.2,2,63918.567177141354,684.3255851684759,70.6755639
2,25.0,1280,false,0.2,3,78334.26281154456,521.6044971122355,94.9605192
2,25.0,1280,false,0.2,4,62582.497919158,545.3975690363483,90.4496562
2,25.0,1280,false,0.2,5,62139.650228036924,449.1151734481574,87.5895542
2,25.0,1280,false,0.2,6,62093.650875812426,419.0153062473924,83.686196
2,25.0,1280,false,0.2,7,62086.750569179996,353.4468418201492,97.3325
2,25.0,1280,false,0.2,8,64303.565335454674,451.60539368992596,100.9882621
2,25.0,320,false,0.1,1,22334.882052953555,132.00850759381274,12.1401942
2,25.0,320,false,0.1,2,31505.648438172935,210.22972080022308,31.5913147
2,25.0,320,false,0.1,3,38741.45376745838,246.12018631061667,68.100812
2,25.0,320,false,0.1,4,31023.881763848454,215.60764625551784,43.6477945
2,25.0,320,false,0.1,5,31051.16431004994,200.09364408226165,40.8311011
2,25.0,320,false,0.1,6,30834.92662989021,168.72848262036104,40.0266254
2,25.0,320,false,0.1,7,30633.703346521095,172.9506174511761,43.8822213
2,25.0,320,false,0.1,8,31983.319449561568,185.78454719284304,47.3796777
