lostsales,first_var,var_discount,avg_cost,MC_std,train_time_s,forecast_id,agent_id
false,0.05,0.7,-8686.592084398213,363.30174694322596,1497.548716377,2,4
false,0.05,0.7,-11075.701352130362,477.83049559262537,1497.548716377,3,4
false,0.05,0.7,-8665.800187186884,385.62776043797584,1497.548716377,4,4
false,0.05,0.7,-8639.362793266535,398.2902174067403,1497.548716377,5,4
false,0.05,0.7,-8595.568352315358,385.443829009282,1497.548716377,6,4
false,0.05,0.7,-8152.537734113975,316.5121221660067,1497.548716377,7,4
false,0.05,0.7,-9313.39562060607,389.9764293567847,1497.548716377,8,4
true,0.1,0.95,-6913.670991010219,1345.3213217704651,1558.525839405,1,19
true,0.1,0.95,-10400.032460747107,2419.3792660365493,1558.525839405,2,19
true,0.1,0.95,-14358.70168206874,4791.228792933871,1558.525839405,3,19
true,0.1,0.95,-10507.674197457633,3181.224543712279,1558.525839405,4,19
true,0.1,0.95,-10654.36335416242,3281.812816970773,1558.525839405,5,19
true,0.1,0.95,-10466.32361499086,2657.0715809695066,1558.525839405,6,19
true,0.1,0.95,-9644.03568605253,2629.6106736218035,1558.525839405,7,19
true,0.1,0.95,-11749.851735979577,4444.537249774896,1558.525839405,8,19
true,0.03,0.7,-6569.026079357896,220.7248289532365,1500.155139196,1,5
true,0.03,0.7,-9040.416592041427,421.49747661361977,1500.155139196,2,5
true,0.03,0.7,-12024.782259069569,702.5523480359986,1500.155139196,3,5
true,0.03,0.7,-9057.398151191032,476.1070384921757,1500.155139196,4,5
true,0.03,0.7,-9051.005502764383,507.7374538246316,1500.155139196,5,5
true,0.03,0.7,-9025.466116839483,507.37352650790604,1500.155139196,6,5
true,0.03,0.7,-8428.655073218713,378.9927108085828,1500.155139196,7,5
true,0.03,0.7,-10117.270649776226,596.0057234263472,1500.155139196,8,5
false,0.1,0.95,-6448.404580358453,975.3228181475857,1561.295826577,1,20
false,0.1,0.95,-9479.52260932707,2453.8740968183797,1561.295826577,2,20
false,0.1,0.95,-12555.8411436828,3821.9479803262684,1561.295826577,3,20
false,0.1,0.95,-9544.88976992129,2517.717782726054,1561.295826577,4,20
false,0.1,0.95,-9693.599278634762,2621.633871238202,1561.295826577,5,20
false,0.1,0.95,-9574.051432148439,2267.689856870984,1561.295826577,6,20
false,0.1,0.95,-8773.147519005459,1714.980464941432,1561.295826577,7,20
false,0.1,0.95,-10266.404363958234,2195.4000482398756,1561.295826577,8,20
false,0.03,0.7,-6301.0017028579205,195.4200854279541,1496.798315206,1,6
false,0.03,0.7,-8572.501514823905,268.13295808711905,1496.798315206,2,6
false,0.03,0.7,-11008.60285279588,370.0884186770209,1496.798315206,3,6
false,0.03,0.7,-8591.084151407033,283.63914260570823,1496.798315206,4,6
false,0.03,0.7,-8538.611940321422,290.84513582397693,1496.798315206,5,6
false,0.03,0.7,-8500.861343210063,288.08152977745925,1496.798315206,6,6
false,0.03,0.7,-8062.196156629319,252.09481144618093,1496.798315206,7,6
false,0.03,0.7,-9218.946742424241,315.09869137311284,1496.798315206,8,6
true,0.05,0.95,-6599.176240759024,599.0657138475168,1561.135091311,1,21
true,0.05,0.95,-9247.262865473298,1078.6991049547635,1561.135091311,2,21
true,0.05,0.95,-12501.574482144913,1651.8107869042753,1561.135091311,3,21
true,0.05,0.95,-9401.809316556075,1178.9943876266711,1561.135091311,4,21
true,0.05,0.95,-9399.038197117046,1214.0209703657656,1561.135091311,5,21
true,0.05,0.95,-9377.090792151404,1187.806469531734,1561.135091311,6,21
true,0.05,0.95,-8620.306156175031,935.1004447836964,1561.135091311,7,21
true,0.05,0.95,-10464.778983441194,1322.9006620647194,1561.135091311,8,21
true,0.1,0.8,-6734.6776279482165,540.5088457292808,1496.991119004,1,7
true,0.1,0.8,-9683.635789006976,951.0970686854891,1496.991119004,2,7
true,0.1,0.8,-13043.173972132847,1442.7960385821648,1496.991119004,3,7
true,0.1,0.8,-9690.901309147092,1058.864416102955,1496.991119004,4,7
true,0.1,0.8,-9675.111055181937,1067.1529554662964,1496.991119004,5,7
true,0.1,0.8,-9762.667819226599,1162.277772635166,1496.991119004,6,7
true,0.1,0.8,-8979.337799835728,934.275412916558,1496.991119004,7,7
true,0.1,0.8,-10840.047546262325,1228.2231950037208,1496.991119004,8,7
false,0.05,0.95,-6344.2004276488615,470.8274110317505,1565.0478886,1,22
false,0.05,0.95,-8757.830236744672,884.3287257559035,1565.0478886,2,22
false,0.05,0.95,-11229.870124784204,1187.1698452381777,1565.0478886,3,22
false,0.05,0.95,-8713.73407890676,935.3601836270569,1565.0478886,4,22
false,0.05,0.95,-8765.310762392872,883.0596940392614,1565.0478886,5,22
false,0.05,0.95,-8706.528424235463,886.8321033379639,1565.0478886,6,22
false,0.05,0.95,-8158.451730655718,754.4548643747879,1565.0478886,7,22
false,0.05,0.95,-9395.309104468397,1054.343077935691,1565.0478886,8,22
false,0.1,0.8,-6469.684816049535,476.9017488953188,1495.927625568,1,8
false,0.1,0.8,-9005.835023996598,757.9345354111227,1495.927625568,2,8
false,0.1,0.8,-11668.122797426091,1126.869521068147,1495.927625568,3,8
false,0.1,0.8,-9041.321226979875,906.9216947745753,1495.927625568,4,8
false,0.1,0.8,-9007.312744880759,833.0083428271438,1495.927625568,5,8
false,0.1,0.8,-8947.652124848404,759.9772835261268,1495.927625568,6,8
false,0.1,0.8,-8416.455027528242,708.6752866498666,1495.927625568,7,8
false,0.1,0.8,-9670.604661807361,816.132933227403,1495.927625568,8,8
true,0.03,0.95,-6528.711239159484,351.93536783055055,1560.904417812,1,23
true,0.03,0.95,-8959.929362620134,578.8167554308945,1560.904417812,2,23
